plateifu,iauname,objra,objdec
10226-1902,J023247.42+004041.1,38.197622053,0.678101681319
10226-3701,J023159.40+004452.7,37.997653039,0.748069852645
10226-3702,J023238.08+003539.2,38.1587047424,0.594245404121
10226-3703,J023144.51-005643.8,37.9355048883,-0.945542508084
10226-3704,J023107.02-010618.6,37.779258815,-1.10518325836
10226-6101,J023147.20+001840.0,37.94676,0.31183
10226-6102,J023128.68-001237.1,37.8695385427,-0.210313896642
10226-6103,J023230.03+001401.1,38.1251900222,0.233624615865
10226-6104,J023301.70+002515.9,38.2552043968,0.420819003951
10226-9101,J022401.33+001508.0,36.00555,0.252243
10226-9102,J023255.80-000752.4,38.2325320155,-0.131245004936
10480-12701,-9999,56.684783,68.107875
10480-12702,-9999,56.614565,68.160375
10480-12703,-9999,56.772556,68.156625
10480-12704,-9999,56.597011,68.059125
10480-12705,-9999,56.755002,68.055375
10480-1901,-9999,57.665758,68.070567
10480-1902,-9999,55.739921,68.084972
10480-3701,-9999,57.050938,68.441033
10480-3702,-9999,55.867567,68.274656
10480-3703,-9999,56.232562,67.787128
10480-3704,-9999,57.448929,67.889014
10480-6101,-9999,57.418721,68.367169
10480-6102,-9999,56.194842,68.453178
10480-6103,-9999,55.806779,67.918458
10480-6104,-9999,57.100883,67.770444
10480-9101,-9999,56.544741,68.114542
10480-9102,-9999,56.830027,68.097875
10481-12701,-9999,56.667229,68.104125
10481-12702,-9999,56.597011,68.156625
10481-12703,-9999,56.755002,68.152875
10481-12704,-9999,56.579456,68.055375
10481-12705,-9999,56.737447,68.051625
10481-1901,-9999,57.665758,68.070567
10481-1902,-9999,55.739921,68.084972
10481-3701,-9999,57.050938,68.441033
10481-3702,-9999,55.867567,68.274656
10481-3703,-9999,56.232562,67.787128
10481-3704,-9999,57.448929,67.889014
10481-6101,-9999,57.418721,68.367169
10481-6102,-9999,56.194842,68.453178
10481-6103,-9999,55.806779,67.918458
10481-6104,-9999,57.100883,67.770444
10481-9101,-9999,56.529788,68.111347
10481-9102,-9999,56.815073,68.094681
10482-12701,-9999,56.667229,68.096625
10482-12702,-9999,56.597011,68.149125
10482-12703,-9999,56.755002,68.145375
10482-12704,-9999,56.579456,68.047875
10482-12705,-9999,56.737447,68.044125
10482-1902,-9999,55.739921,68.084972
10482-3701,-9999,57.050938,68.441033
10482-3703,-9999,56.232562,67.787128
10482-3704,-9999,57.448929,67.889014
10482-6101,-9999,57.418721,68.367169
10482-6102,-9999,56.194842,68.453178
10482-6104,-9999,57.100883,67.770444
10482-9101,-9999,56.529788,68.104958
10482-9102,-9999,56.815073,68.088292
10483-12701,-9999,56.667229,68.089125
10483-12702,-9999,56.597011,68.141625
10483-12703,-9999,56.755002,68.137875
10483-12704,-9999,56.579456,68.040375
10483-12705,-9999,56.737447,68.036625
10483-1902,-9999,55.739921,68.084972
10483-3701,-9999,57.050938,68.441033
10483-3703,-9999,56.232562,67.787128
10483-3704,-9999,57.448929,67.889014
10483-6101,-9999,57.418721,68.367169
10483-6102,-9999,56.194842,68.453178
10483-6104,-9999,57.100883,67.770444
10483-9101,-9999,56.529788,68.098569
10483-9102,-9999,56.815073,68.081903
10484-12701,-9999,56.684783,68.085375
10484-12702,-9999,56.614565,68.137875
10484-12703,-9999,56.772556,68.134125
10484-12704,-9999,56.597011,68.036625
10484-12705,-9999,56.755002,68.032875
10484-1902,-9999,55.739921,68.084972
10484-3701,-9999,57.050938,68.441033
10484-3703,-9999,56.232562,67.787128
10484-3704,-9999,57.448929,67.889014
10484-6101,-9999,57.418721,68.367169
10484-6102,-9999,56.194842,68.453178
10484-6104,-9999,57.100883,67.770444
10484-9101,-9999,56.544741,68.095375
10484-9102,-9999,56.830027,68.078708
10485-12701,-9999,56.702338,68.081625
10485-12702,-9999,56.63212,68.134125
10485-12703,-9999,56.790111,68.130375
10485-12704,-9999,56.614565,68.032875
10485-12705,-9999,56.772556,68.029125
10485-1901,-9999,57.665758,68.070567
10485-1902,-9999,55.739921,68.084972
10485-3701,-9999,57.050938,68.441033
10485-3702,-9999,55.867567,68.274656
10485-3703,-9999,56.232562,67.787128
10485-3704,-9999,57.448929,67.889014
10485-6101,-9999,57.418721,68.367169
10485-6102,-9999,56.194842,68.453178
10485-6103,-9999,55.806779,67.918458
10485-6104,-9999,57.100883,67.770444
10485-9101,-9999,56.559695,68.092181
10485-9102,-9999,56.844981,68.075514
10486-12701,-9999,56.719893,68.085375
10486-12702,-9999,56.649674,68.137875
10486-12703,-9999,56.807665,68.134125
10486-12704,-9999,56.63212,68.036625
10486-12705,-9999,56.790111,68.032875
10486-1902,-9999,55.739921,68.084972
10486-3701,-9999,57.050938,68.441033
10486-3703,-9999,56.232562,67.787128
10486-3704,-9999,57.448929,67.889014
10486-6101,-9999,57.418721,68.367169
10486-6102,-9999,56.194842,68.453178
10486-6104,-9999,57.100883,67.770444
10486-9101,-9999,56.574649,68.095375
10486-9102,-9999,56.859935,68.078708
10487-12701,-9999,56.737447,68.089125
10487-12702,-9999,56.667229,68.141625
10487-12703,-9999,56.82522,68.137875
10487-12704,-9999,56.649674,68.040375
10487-12705,-9999,56.807665,68.036625
10487-1902,-9999,55.739921,68.084972
10487-3701,-9999,57.050938,68.441033
10487-3703,-9999,56.232562,67.787128
10487-3704,-9999,57.448929,67.889014
10487-6101,-9999,57.418721,68.367169
10487-6102,-9999,56.194842,68.453178
10487-6104,-9999,57.100883,67.770444
10487-9101,-9999,56.589603,68.098569
10487-9102,-9999,56.874888,68.081903
10488-12701,-9999,56.737447,68.096625
10488-12702,-9999,56.667229,68.149125
10488-12703,-9999,56.82522,68.145375
10488-12704,-9999,56.649674,68.047875
10488-12705,-9999,56.807665,68.044125
10488-1902,-9999,55.739921,68.084972
10488-3701,-9999,57.050938,68.441033
10488-3703,-9999,56.232562,67.787128
10488-3704,-9999,57.448929,67.889014
10488-6101,-9999,57.418721,68.367169
10488-6102,-9999,56.194842,68.453178
10488-6104,-9999,57.100883,67.770444
10488-9101,-9999,56.589603,68.104958
10488-9102,-9999,56.874888,68.088292
10489-12701,-9999,56.755002,68.107875
10489-12702,-9999,56.684783,68.160375
10489-12703,-9999,56.842775,68.156625
10489-12704,-9999,56.667229,68.059125
10489-12705,-9999,56.82522,68.055375
10489-1901,-9999,57.665758,68.070567
10489-1902,-9999,55.739921,68.084972
10489-3701,-9999,57.050938,68.441033
10489-3702,-9999,55.867567,68.274656
10489-3703,-9999,56.232562,67.787128
